Year,Named Storms,Hurricanes,MajorHurricanes,Avg Ocean Max Temp,Avg Ocean Min Temp,Ocean Wind Speed,Ocean Wind Direction,Ocean Evapotrasnpiration,Avg Desert Max Temp,Avg Desert Min Temp,Desert Wind Speed,Desert Wind Direction,Desert Evapotrasnpiration
1988,12,5,3,59.65,54.23,11.96666667,209.7666667,2.768666667,91.28333333,68.48666667,14.85,142.5,7.833
1989,11,7,2,59.63,54.58666667,12.08666667,214.5333333,2.676666667,91.74333333,67.51666667,14.15666667,124.9666667,7.922333333
1990,14,8,1,60.72333333,55.39666667,11.97333333,182.9,2.801666667,89.65666667,67.1,18.06333333,102.2666667,8.811333333
1991,8,4,2,60.57,55.22666667,13.34,229.8,2.666666667,91.45666667,69.58666667,15.60666667,145.8,8.138
1992,7,4,1,60.08333333,55.23333333,11.5,223.5,2.679333333,87.94666667,65.57666667,15.78333333,126.6333333,7.822333333
1993,8,4,1,60.76666667,55.51666667,11.5,205.8,2.829333333,93.42666667,69.48,12.21,126.3333333,7.685666667
1994,7,3,0,60.62,55.18666667,13.15,212.2,2.74,89.25333333,68.73,12.76333333,132.6333333,6.738333333
1995,19,11,5,60.11,54.95333333,12.13,222.9333333,2.604666667,93.87333333,70.32,15.09333333,122.2666667,8.482666667
1996,13,9,6,58.68,53.77666667,13.59333333,173.4666667,2.606333333,93.94333333,69.66,13.19666667,230.8333333,8.074666667
1997,8,3,1,62.84666667,56.69666667,11.51333333,189.1333333,2.823666667,90.86666667,68.36333333,15.46666667,156.8333333,7.787666667
1998,14,10,3,60.2,54.67333333,12.30333333,211.5333333,2.969,93.84666667,71.25333333,14.5,117.5,7.991
1999,12,8,5,59.14666667,53.55666667,12.09333333,202.3,2.683,93.51,69.67,13.80333333,131.6333333,8.211333333
2000,15,8,3,60.43666667,55.06333333,12.73666667,226.3,2.845,91.98,66.45,13.33,120,8.006666667
2001,15,9,4,60.32333333,55.49333333,13.56,229.9333333,2.649,93.59666667,68.84333333,14.98,103.9333333,8.614666667
2002,12,4,2,62.07,56.16333333,12.57,196.4,2.851333333,93.91333333,69.54666667,13.67666667,148.6333333,7.830333333
